Gene_name,Ciliary Gene,Ciliary TF interactions
CNTLN,Unknown,YES
CNTRL,Unknown,YES
COL11A2,Unknown,YES
COLCA2,Unknown,YES
COLQ,Unknown,YES
COMMD1,Unknown,YES
COMMD3,Unknown,YES
COQ2,Unknown,YES
COQ4,Unknown,YES
COQ8B,Unknown,YES
CP,Unknown,YES
CPB1,Unknown,YES
CPEB4,Unknown,YES
CPLANE1,YES,YES
CRACDL,Unknown,YES
CRACR2A,Unknown,YES
CREBRF,Unknown,YES
CRIM1,Unknown,YES
CRIP1,Unknown,YES
CRMP1,Unknown,YES
CROCC,YES,YES
CROCC2,Unknown,YES
CRYBB3,Unknown,YES
CSDE1,Unknown,YES
CSF2RA,Unknown,YES
CSNK1G1,Unknown,YES
CSPP1,YES,YES
CTNNA1,Unknown,YES
CTNNA3,Unknown,YES
CTNND1,Unknown,YES
CTNND2,Unknown,YES
CTSB,Unknown,YES
CTTN,Unknown,YES
CUX1,Unknown,YES
CWC27,Unknown,YES
CWF19L2,Unknown,YES
CXorf58,Unknown,YES
CYB5D1,Unknown,YES
CYP2J2,Unknown,YES
CYP27A1,Unknown,YES
CYP39A1,Unknown,YES
CYP51A1,Unknown,YES
DAB1,Unknown,YES
DAD1,Unknown,YES
DAPK1,Unknown,YES
DAW1,YES,YES
DBH,Unknown,YES
DCAF6,Unknown,YES
DCUN1D4,Unknown,YES
DDHD1,Unknown,YES
DDX5,Unknown,YES
DDX39B,Unknown,YES
DENND1A,Unknown,YES
DENND1B,Unknown,YES
DENND2A,Unknown,YES
DENND2B,Unknown,YES
DENND3,Unknown,YES
DENND5A,Unknown,YES
DENND6B,Unknown,YES
DEUP1,Unknown,YES
DHX29,Unknown,YES
DIAPH1,YES,YES
DIAPH2,Unknown,YES
DIP2B,Unknown,YES
DIS3L2,Unknown,YES
DISC1,YES,YES
DIXDC1,Unknown,YES
DLC1,Unknown,YES
DLEC1,YES,YES
DLGAP1,Unknown,YES
DLGAP2,Unknown,YES
DMXL2,Unknown,YES
DNAAF1,YES,YES
DNAAF2,YES,YES
