gene	set.1.n.umi	set.2.n.umi	set.1.tpm	set.2.tpm	higher.expr	log2.ratio	precision1	precision2	pct.1	pct.2	f.score	p.val	q.val
haf-2	28	3579	75.236241561458	58.8369727682475	Set 1	0.330390591380808	0.00759493670886076	0.992405063291139	0.013077593722755	0.0479358246918411	0.00960922485586163	0.0496353595318569	0.110545177975341
his-61	0	232	0	4.44894672514492	Set 2	2.15346382275973	0	1	0	0.0036685580121307	0.00731029777279594	0.0497761171392522	0.110843915987182
mrpl-55	0	262	0	4.6674046832471	Set 2	2.22262056033882	0	1	0	0.00567403639209548	0.011284046692607	0.0498593781836915	0.110999788861458
sol-1	19	1281	39.7914797303329	71.0802098391424	Set 2	0.801180097890346	0.0169252468265162	0.983074753173484	0.010462074978204	0.0170465662297006	0.0335120321177008	0.0498563141870055	0.110999788861458
T24F1.5	0	81	0	6.5009233036671	Set 2	2.7006446336833	0	1	0	0.000538055175112502	0.00107553165485211	0.0499206147682176	0.111121336530876
pars-1	23	6354	58.6229926933937	107.150734377763	Set 2	0.845701041495806	0.00445335114673792	0.995546648853262	0.01743679163034	0.109347485814909	0.197051499592322	0.0499608653701126	0.111196144108986
exl-1	2	685	3.69423551490255	15.1809490442946	Set 2	1.69329985397437	0.00245098039215686	0.997549019607843	0.000871839581517001	0.00995402073958129	0.019711352189074	0.0499719247531773	0.111205970561618
C01B12.8	0	301	0	4.87966998079569	Set 2	2.28678357951576	0	1	0	0.00596752103306594	0.0118642419527375	0.0500751137404035	0.111420789507197
T26C11.9	0	161	0	4.50488750979594	Set 2	2.17149108138049	0	1	0	0.0026169047153199	0.00522014879863398	0.0501122994017448	0.111488708638442
D2021.4	5	61	12.3775826090862	2.58889225924552	Set 1	1.78611905968345	0.0731707317073171	0.926829268292683	0.002615518744551	0.000929368029739777	0.00505050505050505	0.0501545753638989	0.111567932996488
