Gene_name|Publication|Pub_number
ATXN10|Cilia Carta (TJP van Dam et al.)|13
ATXN10|GO CC Cilium|15
ATXN10|Karsten Boldt et al.|16
ATXN10|Lambacher N. et al.|17
ATXN10|Ross et al.|22
ATXN10|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATXN10|Liu et al.|28
ATXN2|Hannah Müller et al.|6
ATXN2|Liu et al.|28
ATXN2L|Hannah Müller et al.|6
ATXN2L|Liu et al.|28
ATXN3|Arnaiz O. et al.|53
ATXN7L1|Alexander E. Ivliev et al|8
AU016693|Liu et al.|28
AU019823|Monika-Abedin-Sigg et al.|30
AU024582|Liu et al.|28
AU042671|Liu et al.|28
AU045404|Liu et al.|28
AUH|Monika-Abedin-Sigg et al.|30
AUNIP|Broadhead et al.|32
AUNIP|Jakobsen L. et al.|43
AUNIP|Nogales-Cadenas R. et al.|46
AURKA|Phirke et al.|3
AURKA|Hannah Müller et al.|6
AURKA|Ross et al.|22
AURKA|Gabrielle Wheway|27
AURKA|Jakobsen L. et al.|43
AURKA|Nogales-Cadenas R. et al.|46
AURKA|Marshall et al.|55
AURKB|Hannah Müller et al.|6
AURKB|Karsten Boldt et al.|16
AURKB|Ross et al.|22
AURKB|Nogales-Cadenas R. et al.|46
AURKC|Hannah Müller et al.|6
AURKC|Geremek M. et al. 2011|41
AURKC|Nogales-Cadenas R. et al.|46
AVEN|Bechstedt et al.|5
AVEN|Nogales-Cadenas R. et al.|46
AVIL|Alexander E. Ivliev et al|8
AVIL|Monika-Abedin-Sigg et al.|30
AVIL|Kim J. et al.|44
AVPR1A|Efimenko et al.|2
AVPR1A|Semil P. Choksi et al.|23
AVPR1B|Blacque et al._xbox|54
AW456874|Ramona A. Hoh et al.|31
AW551984|McClintock et al.|29
AWAT1|Kim J. et al.|44
AWAT2|Gabrielle Wheway|27
AXDND1|Alexander E. Ivliev et al|8
AXDND1|Semil P. Choksi et al.|23
AXDND1|Monika-Abedin-Sigg et al.|30
