Gene_name|Publication|Pub_number
NA|Lauwaet T. et al.|40
NA|Arnaiz O. et al.|53
1700001L19Rik|Ostrowski et al.|20
2AAA|David U. Mick et al.|26
3|Ostrowski et al.|20
40787.0|Karsten Boldt et al.|16
43167.0|Blacque et al._xbox|54
SCG5|Bechstedt et al.|5
A0A0G2JS52|Blacque et al._xbox|54
A0A1W2PQL4|Blacque et al._xbox|54
A1CF|Semil P. Choksi et al.|23
POTEF|Hannah Müller et al.|6
A2M-AS1|Alexander E. Ivliev et al|8
A2ML1|Alexander E. Ivliev et al|8
A2ML1|Ross et al.|22
PLP2|David U. Mick et al.|26
SGCG|David U. Mick et al.|26
IGKV1D-27|David U. Mick et al.|26
ATP6V0A4|David U. Mick et al.|26
A4GNT|Li et al.|18
A4GNT|McClintock et al.|29
AAAS|Nogales-Cadenas R. et al.|46
AAAS|Arnaiz O. et al.|53
AACS|Phirke et al.|3
AACS|Monika-Abedin-Sigg et al.|30
AACS|Broadhead et al.|32
AACS|Nogales-Cadenas R. et al.|46
AADAC|Blacque et al._xbox|54
AADACL4|Laurençon et al.|7
AADACP1|Alexander E. Ivliev et al|8
AADACP1|Ross et al.|22
AADAT|Li et al.|18
AADAT|Gabrielle Wheway|27
AADAT|McClintock et al.|29
PRXL2C|Geremek M. et al. 2014|42
AAGAB|Marshall et al.|55
AAK1|Karsten Boldt et al.|16
AAK1|Liu et al.|28
AAKB2|David U. Mick et al.|26
AAMDC|Alexander E. Ivliev et al|8
AAMP|Karsten Boldt et al.|16
AAMP|Gabrielle Wheway|27
AAPK1|David U. Mick et al.|26
AAR2|Laurençon et al.|7
AAR2|Karsten Boldt et al.|16
AARD|Marshall et al.|55
AARS2|Lauwaet T. et al.|40
AARSD1|Liu et al.|28
AARSD1|Marshall et al.|55
AASDH|Lambacher N. et al.|17
AASDH|Gabrielle Wheway|27
AASDH|McClintock et al.|29
AASDHPPT|Marshall et al.|55
AASDHPPT|Blacque et al._xbox|54
AASS|Monika-Abedin-Sigg et al.|30
AATF|Jakobsen L. et al.|43
AATM|David U. Mick et al.|26
ABAT|Bechstedt et al.|5
ABAT|Alexander E. Ivliev et al|8
ABAT|Monika-Abedin-Sigg et al.|30
ABCA1|Ross et al.|22
ABCA1|Monika-Abedin-Sigg et al.|30
ABCA12|Ross et al.|22
ABCA12|Monika-Abedin-Sigg et al.|30
ABCA13|Phirke et al.|3
ABCA13|Alexander E. Ivliev et al|8
ABCA13|Mayer et al. 2009|19
ABCA13|Ross et al.|22
ABCA13|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ABCA13|Geremek M. et al. 2014|42
ABCA2|Geremek M. et al. 2014|42
ABCA3|Kilburn et al.|1
ABCA3|Efimenko et al.|2
ABCA3|McClintock et al.|29
ABCA3|Monika-Abedin-Sigg et al.|30
ABCA4|Laurençon et al.|7
ABCA4|Cilia Carta (TJP van Dam et al.)|13
ABCA4|GO CC Cilium|15
ABCA4|Liu et al.|28
ABCA4|Monika-Abedin-Sigg et al.|30
ABCA5|Alexander E. Ivliev et al|8
ABCA5|Ross et al.|22
ABCA5|Monika-Abedin-Sigg et al.|30
ABCA8|Liu et al.|28
ABCA8|Lauwaet T. et al.|40
ABCA9|Lambacher N. et al.|17
ABCB1|Efimenko et al.|2
ABCB1|Phirke et al.|3
ABCB1|Chen et al.|12
ABCB1|Gabrielle Wheway|27
ABCB1|McClintock et al.|29
ABCB1|Monika-Abedin-Sigg et al.|30
ABCB1|Yano J. et al.|50
ABCB1|Blacque et al._xbox|54
ABCB1|Blacque et al._xbox|54
ABCB10|Efimenko et al.|2
ABCB10|Alexander E. Ivliev et al|8
ABCB10|Gabrielle Wheway|27
ABCB10|McClintock et al.|29
ABCB10|Geremek M. et al. 2011|41
ABCB4|Monika-Abedin-Sigg et al.|30
ABCB6|Avidor-Reiss et al.|4
ABCB6|Gabrielle Wheway|27
ABCB6|McClintock et al.|29
ABCB6|Mayer et al. 2008|51
ABCB8|Liu et al.|28
ABCB9|Phirke et al.|3
ABCB9|Blacque et al._xbox|54
ABCB9|Blacque et al._xbox|54
ABCC1|Mayer et al. 2009|19
ABCC1|McClintock et al.|29
ABCC1|Fritz-Laylin L.K. et Cande|49
ABCC1|Blacque et al._xbox|54
ABCC11|Efimenko et al.|2
ABCC2|Alexander E. Ivliev et al|8
ABCC2|Gabrielle Wheway|27
ABCC3|Blacque et al._xbox|54
ABCC4|McClintock et al.|29
ABCC4|Lauwaet T. et al.|40
ABCC4|Yano J. et al.|50
ABCC6|Alexander E. Ivliev et al|8
ABCC6|Ross et al.|22
ABCC6|Geremek M. et al. 2011|41
ABCC6|Geremek M. et al. 2014|42
ABCC6P1|Ross et al.|22
ABCC6P2|Ross et al.|22
ABCD2|Alexander E. Ivliev et al|8
ABCD2|Liu et al.|28
ABCD2|Mayer et al. 2008|51
ABCD3|Karsten Boldt et al.|16
ABCD3|Liu et al.|28
ABCD3|Mayer et al. 2008|51
ABCE1|Andersen et al.|9
ABCE1|Gabrielle Wheway|27
ABCE1|Ishikawa H. et al|48
ABCF1|Karsten Boldt et al.|16
ABCF1|Liu et al.|28
ABCF1|McClintock et al.|29
ABCF1|Marshall et al.|55
ABCF2|Hannah Müller et al.|6
ABCF2|Pazour et al.|21
ABCF2|Liu et al.|28
ABCF2|McClintock et al.|29
ABCF2|Marshall et al.|55
ABCF2|Keller et al.|33
ABCF3|Liu et al.|28
ABCF3|McClintock et al.|29
ABCG1|Laurençon et al.|7
ABCG1|McClintock et al.|29
ABCG2|Semil P. Choksi et al.|23
ABCG2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ABCG2|Fritz-Laylin L.K. et Cande|49
ABCG2|Yano J. et al.|50
ABCG2|Blacque et al._xbox|54
ABCG4|Laurençon et al.|7
ABCG5|Blacque et al._xbox|54
ABCG8|Chen et al.|12
ABHD1|Fritz-Laylin L.K. et Cande|49
ABHD1|Arnaiz O. et al.|53
ABHD10|Liu et al.|28
ABHD10|Marshall et al.|55
ABHD11|Kilburn et al.|1
ABHD12|Liu et al.|28
ABHD12|McClintock et al.|29
ABHD12|Arnaiz O. et al.|53
ABHD12B|Alexander E. Ivliev et al|8
ABHD12B|Ross et al.|22
ABHD12B|Geremek M. et al. 2011|41
ABHD13|Ross et al.|22
ABHD14A|Alexander E. Ivliev et al|8
ABHD14A|McClintock et al.|29
ABHD14A|Ramona A. Hoh et al.|31
ABHD14A|Marshall et al.|55
ABHD14B|Liu et al.|28
ABHD17B|Chen et al.|12
ABHD17B|Blacque et al._xbox|54
ABHD18|McClintock et al.|29
ABHD18|Blacque et al._xbox|54
ABHD3|Alexander E. Ivliev et al|8
ABHD4|McClintock et al.|29
ABHD4|Blacque et al._xbox|54
ABHD5|Ross et al.|22
ABHD6|Alexander E. Ivliev et al|8
ABHD6|Bayesian (TJP van Dam et al.)|11
ABHD6|Cilia Carta (TJP van Dam et al.)|13
ABHD6|Ross et al.|22
ABHD6|Liu et al.|28
ABHD6|Yano J. et al.|50
ABHEB|David U. Mick et al.|26
ABI1|Karsten Boldt et al.|16
ABI1|Liu et al.|28
ABI2|Alexander E. Ivliev et al|8
ABI2|Lambacher N. et al.|17
ABI2|Marshall et al.|55
ABI3BP|Ross et al.|22
ABLIM1|Cilia Carta (TJP van Dam et al.)|13
ABLIM1|GO CC Cilium|15
ABLIM1|Karsten Boldt et al.|16
ABLIM1|Ross et al.|22
ABLIM1|Liu et al.|28
ABLIM1|McClintock et al.|29
ABLIM2|Liu et al.|28
ABLIM3|Cilia Carta (TJP van Dam et al.)|13
ABLIM3|GO CC Cilium|15
ABLIM3|Ross et al.|22
ABO|Alexander E. Ivliev et al|8
ABO|Ross et al.|22
ABRA|Chen et al.|12
ABRACL|Monika-Abedin-Sigg et al.|30
ABRACL|Arnaiz O. et al.|53
ABRAXAS1|Alexander E. Ivliev et al|8
ABT1|Efimenko et al.|2
ABT1|McClintock et al.|29
ABTB1|McClintock et al.|29
AC002365.1|Semil P. Choksi et al.|23
AC004034.1|Hannah Müller et al.|6
AC004086.1|Hannah Müller et al.|6
AC005393.1|Hannah Müller et al.|6
AC006226.1|Hannah Müller et al.|6
AC008038.1|Hannah Müller et al.|6
AC008038.1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
AC010385.1|Hannah Müller et al.|6
AC010468.1|Hannah Müller et al.|6
AC010619.2|Hannah Müller et al.|6
AC010724.8|Hannah Müller et al.|6
AC011841.5|Hannah Müller et al.|6
AC013461.1|Efimenko et al.|2
AC013461.1|Phirke et al.|3
AC013725.1|Hannah Müller et al.|6
AC016629.3|Hannah Müller et al.|6
AC021593.1|Hannah Müller et al.|6
AC026403.1|Hannah Müller et al.|6
AC026410.3|Hannah Müller et al.|6
AC078867.1|Hannah Müller et al.|6
AC079322.1|Hannah Müller et al.|6
AC079857.3|Hannah Müller et al.|6
AC090287.2|Hannah Müller et al.|6
AC091172.1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
AC093768.1|Hannah Müller et al.|6
AC096571.1|Hannah Müller et al.|6
AC096766.1|Hannah Müller et al.|6
AC104809.3|Semil P. Choksi et al.|23
AC104852.1|Hannah Müller et al.|6
AC105049.1|Hannah Müller et al.|6
AC113211.1|Hannah Müller et al.|6
AC116968.1|Hannah Müller et al.|6
AC132812.1|Hannah Müller et al.|6
AC139099.1|Hannah Müller et al.|6
AC243756.1|Kilburn et al.|1
ACAA1|Kilburn et al.|1
ACAA1|Gabrielle Wheway|27
ACAA1|Liu et al.|28
ACAA2|Alexander E. Ivliev et al|8
ACAA2|Ross et al.|22
ACAA2|Gabrielle Wheway|27
ACAA2|Monika-Abedin-Sigg et al.|30
ACACA|Pazour et al.|21
ACACA|Liu et al.|28
ACACA|Ishikawa H. et al|48
ACACB|Efimenko et al.|2
ACAD10|Phirke et al.|3
ACAD10|Liu et al.|28
ACAD10|Blacque et al._xbox|54
ACAD11|Alexander E. Ivliev et al|8
ACAD11|Fritz-Laylin L.K. et Cande|49
ACAD9|Karsten Boldt et al.|16
ACADL|Alexander E. Ivliev et al|8
ACADL|Monika-Abedin-Sigg et al.|30
ACADL|Nakachi M. et al.|39
ACADM|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ACADM|Monika-Abedin-Sigg et al.|30
ACADM|Blacque et al._xbox|54
ACADS|Phirke et al.|3
ACADS|Monika-Abedin-Sigg et al.|30
ACADS|Nogales-Cadenas R. et al.|46
ACADS|Blacque et al._xbox|54
ACADSB|Efimenko et al.|2
ACADSB|Chen et al.|12
ACADSB|Ross et al.|22
ACADSB|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ACADSB|McClintock et al.|29
ACADSB|Blacque et al._xbox|54
ACAN|Phirke et al.|3
ACAN|Broadhead et al.|32
ACAN|Blacque et al._xbox|54
ACAP1|Alexander E. Ivliev et al|8
ACAP2|Karsten Boldt et al.|16
ACAP2|McClintock et al.|29
ACAP2|Blacque et al._xbox|54
ACAT1|Kilburn et al.|1
ACAT1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ACAT1|Monika-Abedin-Sigg et al.|30
ACAT2|Ross et al.|22
ACAT2|Gabrielle Wheway|27
ACAT2|Monika-Abedin-Sigg et al.|30
ACBD3|Mayer et al. 2009|19
ACBD3|McClintock et al.|29
ACBD3|Mayer et al. 2008|51
ACBD3|Blacque et al._xbox|54
ACBD4|Kilburn et al.|1
ACBD5|Liu et al.|28
ACBD7|Marshall et al.|55
ACCS|Alexander E. Ivliev et al|8
ACCS|Monika-Abedin-Sigg et al.|30
ACD|Gabrielle Wheway|27
ACE|Mayer et al. 2009|19
ACE|Monika-Abedin-Sigg et al.|30
ACE|Mayer et al. 2008|51
ACE2|Ross et al.|22
ACER2|McClintock et al.|29
ACER2|Blacque et al._xbox|54
ACIN1|Pazour et al.|21
ACIN1|Gabrielle Wheway|27
ACKR1|Gabrielle Wheway|27
ACKR2|Gabrielle Wheway|27
ACKR3|Gabrielle Wheway|27
ACKR4|Alexander E. Ivliev et al|8
ACLY|Andersen et al.|9
ACLY|Andersen et al.|9
ACLY|Ross et al.|22
ACLY|David U. Mick et al.|26
ACLY|Gabrielle Wheway|27
ACLY|Liu et al.|28
ACMSD|Phirke et al.|3
ACMSD|Monika-Abedin-Sigg et al.|30
ACO1|Kilburn et al.|1
ACO1|Monika-Abedin-Sigg et al.|30
ACO1|Fritz-Laylin L.K. et Cande|49
ACO2|Monika-Abedin-Sigg et al.|30
ACOD1|David U. Mick et al.|26
ACOD2|David U. Mick et al.|26
ACOT1|Ramona A. Hoh et al.|31
ACOT11|Liu et al.|28
ACOT12|McClintock et al.|29
ACOT13|Fritz-Laylin L.K. et Cande|49
ACOT2|Ramona A. Hoh et al.|31
ACOT6|Gabrielle Wheway|27
ACOT7|Ross et al.|22
ACOT7|Liu et al.|28
ACOT7|Marshall et al.|55
ACOT8|Efimenko et al.|2
ACOT8|Liu et al.|28
ACOT8|Blacque et al._xbox|54
ACOT9|Kilburn et al.|1
ACOT9|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ACOT9|David U. Mick et al.|26
ACOX1|Phirke et al.|3
ACOX1|Chen et al.|12
ACOX1|Liu et al.|28
ACOX1|Blacque et al._xbox|54
ACOX2|Gabrielle Wheway|27
ACOX2|Ramona A. Hoh et al.|31
ACP1|Alexander E. Ivliev et al|8
ACP1|Liu et al.|28
ACP1|Monika-Abedin-Sigg et al.|30
ACP2|Blacque et al._xbox|54
ACP4|Blacque et al._xbox|54
ACP5|Ross et al.|22
ACP7|McClintock et al.|29
ACP7|Monika-Abedin-Sigg et al.|30
ACP7|Blacque et al._xbox|54
ACP3|Efimenko et al.|2
ACP3|Blacque et al._xbox|54
ACP3|Blacque et al._xbox|54
ACP3|Blacque et al._xbox|54
ACRBP|Marshall et al.|55
ACSBG1|Kilburn et al.|1
ACSBG1|Alexander E. Ivliev et al|8
ACSBG1|Geremek M. et al. 2014|42
ACSF2|Phirke et al.|3
ACSF2|Chen et al.|12
ACSF2|Monika-Abedin-Sigg et al.|30
ACSF2|Blacque et al._xbox|54
ACSF2|Blacque et al._xbox|54
ACSF3|Monika-Abedin-Sigg et al.|30
ACSF3|Lauwaet T. et al.|40
ACSF3|Blacque et al._xbox|54
ACSL1|Alexander E. Ivliev et al|8
ACSL1|Karsten Boldt et al.|16
ACSL1|Monika-Abedin-Sigg et al.|30
ACSL1|Fritz-Laylin L.K. et Cande|49
ACSL1|Mayer et al. 2008|51
ACSL3|Andersen et al.|9
ACSL3|Andersen et al.|9
ACSL3|Karsten Boldt et al.|16
ACSL3|Liu et al.|28
ACSL4|Phirke et al.|3
ACSL4|Liu et al.|28
ACSL4|Fritz-Laylin L.K. et Cande|49
ACSL5|Kilburn et al.|1
ACSL5|Alexander E. Ivliev et al|8
ACSL5|Ross et al.|22
ACSL5|Lauwaet T. et al.|40
ACSL6|Liu et al.|28
ACSL6|Mayer et al. 2008|51
ACSM1|Marshall et al.|55
ACSM3|Fritz-Laylin L.K. et Cande|49
ACSS2|Laurençon et al.|7
ACSS3|Kilburn et al.|1
ACSS3|Fritz-Laylin L.K. et Cande|49
ACTA1|David U. Mick et al.|26
ACTA1|Andersen et al.|9
ACTA1|Andersen et al.|9
ACTA1|Liu et al.|28
ACTA2|Ross et al.|22
ACTB|Hannah Müller et al.|6
ACTB|Andersen et al.|9
ACTB|Andersen et al.|9
ACTB|Gabrielle Wheway|27
ACTB|Liu et al.|28
ACTB|McClintock et al.|29
ACTB|Broadhead et al.|32
ACTB|Lauwaet T. et al.|40
ACTB|Fritz-Laylin L.K. et Cande|49
ACTB|Nakachi M. et al.|39
ACTB|Nakachi M. et al.|39
ACTBL2|Hannah Müller et al.|6
ACTBL2|Karsten Boldt et al.|16
ACTBL2|Liu et al.|28
ACTC1|David U. Mick et al.|26
ACTC1|Broadhead et al.|32
ACTG1|Kilburn et al.|1
ACTG1|Hannah Müller et al.|6
ACTG1|Laurençon et al.|7
ACTG1|Andersen et al.|9
ACTG1|Andersen et al.|9
ACTG1|Mayer et al. 2009|19
ACTG1|Pazour et al.|21
ACTG1|McClintock et al.|29
ACTG1|Broadhead et al.|32
ACTG1|Fritz-Laylin L.K. et Cande|49
ACTG1|Mayer et al. 2008|51
ACTG1|Nakachi M. et al.|39
ACTG1P4|Ross et al.|22
ACTG2|Fritz-Laylin L.K. et Cande|49
ACTL6A|Monika-Abedin-Sigg et al.|30
ACTL6A|Kim J. et al.|44
ACTL6B|Gabrielle Wheway|27
ACTL7A|Cilia Carta (TJP van Dam et al.)|13
ACTL7A|GO CC Cilium|15
ACTL7B|Marshall et al.|55
ACTN1|Karsten Boldt et al.|16
ACTN1|Mayer et al. 2009|19
ACTN1|Ross et al.|22
ACTN1|David U. Mick et al.|26
ACTN1|Liu et al.|28
ACTN1|McClintock et al.|29
ACTN1|Fritz-Laylin L.K. et Cande|49
ACTN1|Mayer et al. 2008|51
ACTN2|Semil P. Choksi et al.|23
ACTN2|Gabrielle Wheway|27
ACTN2|Boesger J et al.|37
ACTN3|Liu et al.|28
ACTN4|Karsten Boldt et al.|16
ACTN4|Mayer et al. 2009|19
ACTN4|David U. Mick et al.|26
ACTN4|Gabrielle Wheway|27
ACTN4|Liu et al.|28
ACTN4|Mayer et al. 2008|51
ACTR10|Karsten Boldt et al.|16
ACTR10|Liu et al.|28
ACTR10|Nogales-Cadenas R. et al.|46
ACTR1A|Andersen et al.|9
ACTR1A|Andersen et al.|9
ACTR1A|Karsten Boldt et al.|16
ACTR1A|Mayer et al. 2009|19
ACTR1A|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ACTR1A|Liu et al.|28
ACTR1A|Nogales-Cadenas R. et al.|46
ACTR1B|Karsten Boldt et al.|16
ACTR1B|Liu et al.|28
ACTR1B|Nogales-Cadenas R. et al.|46
ACTR2|Cilia Carta (TJP van Dam et al.)|13
ACTR2|GO CC Cilium|15
ACTR2|Liu et al.|28
ACTR2|Monika-Abedin-Sigg et al.|30
ACTR2|Fritz-Laylin L.K. et Cande|49
ACTR3|Karsten Boldt et al.|16
ACTR3|Semil P. Choksi et al.|23
ACTR3|Liu et al.|28
ACTR3|Monika-Abedin-Sigg et al.|30
ACTR3|Fritz-Laylin L.K. et Cande|49
ACTR3B|Alexander E. Ivliev et al|8
ACTR3B|Liu et al.|28
ACTR5|Hannah Müller et al.|6
ACTR6|Alexander E. Ivliev et al|8
ACTR6|Marshall et al.|55
ACVR1|Alexander E. Ivliev et al|8
ACVR1B|Marshall et al.|55
ACVR2A|McClintock et al.|29
ACVR2B|Gabrielle Wheway|27
ACY1|Gabrielle Wheway|27
ACY1|Monika-Abedin-Sigg et al.|30
ACYP1|Alexander E. Ivliev et al|8
ACYP1|Li et al.|18
ACYP1|Ramona A. Hoh et al.|31
ACYP1|Geremek M. et al. 2011|41
ACYP1|Marshall et al.|55
ACYP2|Alexander E. Ivliev et al|8
ADA|Ross et al.|22
ADAM10|Phirke et al.|3
ADAM10|McClintock et al.|29
ADAM10|Blacque et al._xbox|54
ADAM15|Efimenko et al.|2
ADAM15|Gabrielle Wheway|27
ADAM15|Marshall et al.|55
ADAM17|Bechstedt et al.|5
ADAM17|Monika-Abedin-Sigg et al.|30
ADAM17|Marshall et al.|55
ADAM20|Gabrielle Wheway|27
ADAM22|Alexander E. Ivliev et al|8
ADAM22|Ramona A. Hoh et al.|31
ADAM22|Stubbs J.L. et al.|52
ADAM28|Ross et al.|22
ADAM8|Ross et al.|22
ADAM8|Gabrielle Wheway|27
ADAMDEC1|Blacque et al._sage|56
ADAMTS1|Ross et al.|22
ADAMTS10|Gabrielle Wheway|27
ADAMTS12|Semil P. Choksi et al.|23
ADAMTS16|Alexander E. Ivliev et al|8
ADAMTS16|Gabrielle Wheway|27
ADAMTS17|Gabrielle Wheway|27
ADAMTS19|Gabrielle Wheway|27
ADAMTS20|Pazour et al.|21
ADAMTS20|McClintock et al.|29
ADAMTS3|Alexander E. Ivliev et al|8
ADAMTS4|Gabrielle Wheway|27
ADAMTS6|Gabrielle Wheway|27
ADAMTS7|Laurençon et al.|7
ADAMTS7|Gabrielle Wheway|27
ADAMTS8|Alexander E. Ivliev et al|8
ADAMTS8|Gabrielle Wheway|27
ADAMTS9|Monika-Abedin-Sigg et al.|30
ADAMTS9|Kim J. et al.|44
ADAMTS9|Nogales-Cadenas R. et al.|46
ADAMTSL1|Broadhead et al.|32
ADAMTSL3|Blacque et al._sage|56
ADAMTSL4|Ross et al.|22
ADAP1|Monika-Abedin-Sigg et al.|30
ADAP2|Alexander E. Ivliev et al|8
ADAR|Gabrielle Wheway|27
ADARB1|Efimenko et al.|2
ADAT2|McClintock et al.|29
ADAT3|Alexander E. Ivliev et al|8
ADCK1|Liu et al.|28
ADCK1|Blacque et al._xbox|54
ADCK5|Gabrielle Wheway|27
ADCK5|McClintock et al.|29
ADCY10|McClintock et al.|29
ADCY10|Fritz-Laylin L.K. et Cande|49
ADCY2|Alexander E. Ivliev et al|8
ADCY3|Cilia Carta (TJP van Dam et al.)|13
ADCY3|GO CC Cilium|15
ADCY3|Mayer et al. 2009|19
ADCY3|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ADCY3|Monika-Abedin-Sigg et al.|30
ADCY3|Mayer et al. 2008|51
ADCY4|Li et al.|18
ADCY5|Cilia Carta (TJP van Dam et al.)|13
ADCY5|GO CC Cilium|15
ADCY6|Cilia Carta (TJP van Dam et al.)|13
ADCY6|GO CC Cilium|15
ADCY6|Karsten Boldt et al.|16
ADCY6|David U. Mick et al.|26
ADCY6|Gabrielle Wheway|27
ADCY7|Kilburn et al.|1
ADCY7|Ross et al.|22
ADCY8|Efimenko et al.|2
ADCY9|Efimenko et al.|2
ADCY9|McClintock et al.|29
ADCY9|Geremek M. et al. 2014|42
ADCYAP1R1|Alexander E. Ivliev et al|8
ADCYAP1R1|McClintock et al.|29
ADD1|Phirke et al.|3
ADD1|Liu et al.|28
ADD2|Liu et al.|28
ADD3|Semil P. Choksi et al.|23
ADD3|Liu et al.|28
ADDG|David U. Mick et al.|26
ADGB|Alexander E. Ivliev et al|8
ADGB|Bayesian (TJP van Dam et al.)|11
ADGB|Cilia Carta (TJP van Dam et al.)|13
ADGB|Dey G et al.|14
ADGB|Ross et al.|22
ADGB|Semil P. Choksi et al.|23
ADGB|Monika-Abedin-Sigg et al.|30
ADGRA2|Gabrielle Wheway|27
ADGRB1|Gabrielle Wheway|27
ADGRB2|Alexander E. Ivliev et al|8
ADGRE2|Ross et al.|22
ADGRE5|Alexander E. Ivliev et al|8
ADGRE5|Gabrielle Wheway|27
ADGRE5|Geremek M. et al. 2014|42
ADGRF1|Kubo A. et al.|45
ADGRF3|Gabrielle Wheway|27
ADGRF4|Alexander E. Ivliev et al|8
ADGRF5|Alexander E. Ivliev et al|8
ADGRF5|Ross et al.|22
ADGRF5|Yano J. et al.|50
ADGRG1|Gabrielle Wheway|27
ADGRG2|Alexander E. Ivliev et al|8
ADGRG5|Gabrielle Wheway|27
ADGRG6|Phirke et al.|3
ADGRL1|Ross et al.|22
ADGRL1|Monika-Abedin-Sigg et al.|30
ADGRL3|Phirke et al.|3
ADGRL3|Liu et al.|28
ADGRL3|Monika-Abedin-Sigg et al.|30
ADGRL4|Arnaiz O. et al.|53
ADGRV1|Efimenko et al.|2
ADGRV1|Alexander E. Ivliev et al|8
ADGRV1|Liu et al.|28
ADH1C|Alexander E. Ivliev et al|8
ADH1C|Ross et al.|22
ADH4|Chen et al.|12
ADH5|Pazour et al.|21
ADH5|Semil P. Choksi et al.|23
ADH5|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ADH5|McClintock et al.|29
ADH5|Monika-Abedin-Sigg et al.|30
ADH5|Blacque et al._xbox|54
ADH6|Alexander E. Ivliev et al|8
ADH7|Alexander E. Ivliev et al|8
ADH7|Pazour et al.|21
ADH7|Ross et al.|22
ADH7|Kubo A. et al.|45
ADHFE1|Chen et al.|12
ADHFE1|Li et al.|18
ADHFE1|McClintock et al.|29
ADHFE1|Geremek M. et al. 2014|42
ADI1|Phirke et al.|3
ADI1|Chen et al.|12
ADI1|Monika-Abedin-Sigg et al.|30
ADI1|Marshall et al.|55
ADI1|Blacque et al._xbox|54
ADIRF|Ross et al.|22
ADK|Pazour et al.|21
ADK|Ross et al.|22
ADK|McClintock et al.|29
ADK|Monika-Abedin-Sigg et al.|30
ADM|Gabrielle Wheway|27
ADORA2A|Gabrielle Wheway|27
ADORA2B|Ross et al.|22
ADPGK|Ishikawa H. et al|48
ADPRH|David U. Mick et al.|26
ADPRH|Marshall et al.|55
ADPRHL1|Geremek M. et al. 2011|41
ADPRS|Alexander E. Ivliev et al|8
ADPRS|McClintock et al.|29
ADPRS|Monika-Abedin-Sigg et al.|30
ADRA1B|McClintock et al.|29
ADRA2A|Efimenko et al.|2
ADRA2A|Blacque et al._xbox|54
ADRA2B|McClintock et al.|29
ADRB1|Ross et al.|22
ADRB1|McClintock et al.|29
ADRB2|Gabrielle Wheway|27
GRK2|Cilia Carta (TJP van Dam et al.)|13
GRK2|GO CC Cilium|15
ADRM1|Karsten Boldt et al.|16
ADRM1|Ostrowski et al.|20
ADRM1|McClintock et al.|29
ADRM1|Marshall et al.|55
ADSL|Phirke et al.|3
ADSL|Monika-Abedin-Sigg et al.|30
ADSL|Marshall et al.|55
ADSS2|Kilburn et al.|1
ADSS2|Arnaiz O. et al.|53
ADSS1|Alexander E. Ivliev et al|8
ADSS1|Ross et al.|22
AEBP1|Alexander E. Ivliev et al|8
AEBP2|Avidor-Reiss et al.|4
AEBP2|McClintock et al.|29
AEDO|David U. Mick et al.|26
AEN|Gabrielle Wheway|27
AF146191.3|Hannah Müller et al.|6
AF366264|Gabrielle Wheway|27
AFAP1|Marshall et al.|55
AFAP1|Arnaiz O. et al.|53
AFAP1L1|Alexander E. Ivliev et al|8
AFDN|Alexander E. Ivliev et al|8
AFDN|Liu et al.|28
AFDN|McClintock et al.|29
AFDN|Arnaiz O. et al.|53
AFF1|Kilburn et al.|1
AFF2|Laurençon et al.|7
AFG1L|Marshall et al.|55
AFG3L2|Laurençon et al.|7
AFG3L2|Karsten Boldt et al.|16
AFG3L2|Pazour et al.|21
AFG3L2|Ross et al.|22
AFG3L2|SYSCILIA Gold Standard (van Dam TJ et al.)|24
AFG3L2|McClintock et al.|29
AFG3L2|Blacque et al._xbox|54
AFMID|Efimenko et al.|2
AFMID|Blacque et al._xbox|54
AFTPH|Semil P. Choksi et al.|23
AFTPH|Marshall et al.|55
AF_RS10390|Ostrowski et al.|20
AGAP1|Karsten Boldt et al.|16
AGAP1|Liu et al.|28
AGAP1|McClintock et al.|29
AGAP1|Blacque et al._xbox|54
AGAP3|Karsten Boldt et al.|16
AGBL1|Alexander E. Ivliev et al|8
AGBL1|Dey G et al.|14
AGBL2|Avidor-Reiss et al.|4
AGBL2|Alexander E. Ivliev et al|8
AGBL2|Bayesian (TJP van Dam et al.)|11
AGBL2|Cilia Carta (TJP van Dam et al.)|13
AGBL2|Dey G et al.|14
AGBL2|GO CC Cilium|15
AGBL2|Lambacher N. et al.|17
AGBL2|Ross et al.|22
AGBL2|Semil P. Choksi et al.|23
AGBL2|Geremek M. et al. 2014|42
AGBL2|Marshall et al.|55
AGBL3|Dey G et al.|14
AGBL3|Li et al.|18
AGBL4|Efimenko et al.|2
AGBL4|Laurençon et al.|7
AGBL4|Cilia Carta (TJP van Dam et al.)|13
AGBL4|GO CC Cilium|15
AGBL4|Gabrielle Wheway|27
AGBL4|Yano J. et al.|50
AGBL5|Dey G et al.|14
AGBL5|Li et al.|18
AGBL5|McClintock et al.|29
AGBL5|Hodges ME. et al.|38
AGER|Geremek M. et al. 2014|42
AGFG2|Semil P. Choksi et al.|23
AGGF1|Alexander E. Ivliev et al|8
