Gene_name;interaction_scores.x;Reyfman;Carraro;Habermann;Murthy;Celegans;Trachea;CenGen;Cluster_31;Cluster_37;Motif_RFX2;Motif_RFX3;Motif_MYB;Motif_GLIS3;Motif_JAZF1;Motif_FOXJ1;Motif_SOX5;Motif_TOX;Centrosome;Cilia_expression;Flagella;Cilia_localization;interaction_scores.y;phylogenetic_scores;motif_score;pa_score;single_cell_score;total_score_sums;total_score_weighted
ABCC12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCC13;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1;0,393722020805355;NA;NA;NA;NA;0.49040765;NA;0.003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1P1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1P2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1P3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1P4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD1P5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCD3;0,465185747513486;0.798760255;0.213;0.324875361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;NO;NA;NA;NA;NA;NA;NA;NA
ABCD4;0,258276143709885;NA;NA;NA;NA;NA;NA;0.023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCE1;0,659483828445149;NA;NA;NA;NA;NA;NA;0.005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCF1;0,616854509713186;NA;NA;0.155;NA;NA;NA;0.076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCF2;0,5478817427142;NA;NA;NA;NA;NA;NA;0.014;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCF2P1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCF2P2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCF3;0,585024957818804;NA;NA;0.133;NA;NA;NA;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCG1;0,394189881934096;NA;NA;NA;NA;NA;NA;0.002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;YES;NA;NA;NA;NA;NA;NA;NA
ABCG2;0,741146330627643;NA;NA;NA;NA;NA;NA;0.01;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCG4;0;NA;NA;NA;NA;NA;NA;0.001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCG5;0;NA;NA;NA;NA;NA;NA;0.003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABCG8;0;NA;NA;NA;NA;NA;NA;0.001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD2;0;0.872730254;0.42;0.449;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD3;0,421913063597875;NA;NA;NA;NA;NA;NA;0.051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD4;0,338189886399162;NA;NA;NA;NA;0.504221459;NA;0.003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ABHD5;0,416997396729042;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NO;YES;NO;YES;NA;NA;NA;NA;NA;NA;NA
