HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol
HGNC:10835	Approved	SH3GL1P1	CNSA-P1	SH3GLP1
HGNC:10836	Approved	SH3GL1P2	CNSA-P2	SH3GLP2
HGNC:10837	Approved	SH3GL1P3	CNSA-P3	SH3GLP3
HGNC:10831	Approved	SH3GL2	SH3P4	
HGNC:10831	Approved	SH3GL2	SH3D2A	
HGNC:10831	Approved	SH3GL2	CNSA2	
HGNC:10831	Approved	SH3GL2	EEN-B1	
HGNC:10832	Approved	SH3GL3	SH3D2C	
HGNC:10832	Approved	SH3GL3	SH3P13	
HGNC:10832	Approved	SH3GL3	CNSA3	
HGNC:10832	Approved	SH3GL3	EEN-B2	
HGNC:10832	Approved	SH3GL3	HsT19371	
HGNC:10833	Approved	SH3GLB1	CGI-61	
HGNC:10833	Approved	SH3GLB1	KIAA0491	
HGNC:10833	Approved	SH3GLB1	Bif-1	
HGNC:10833	Approved	SH3GLB1	PPP1R70	
HGNC:10834	Approved	SH3GLB2	KIAA1848	
HGNC:13867	Approved	SH3KBP1	CIN85	
HGNC:23664	Approved	SH3PXD2A	FISH	SH3MD1
HGNC:23664	Approved	SH3PXD2A	KIAA0418	SH3MD1
HGNC:45242	Approved	SH3PXD2A-AS1		
HGNC:29242	Approved	SH3PXD2B	FLJ20831	KIAA1295
HGNC:17650	Approved	SH3RF1	POSH	SH3MD2
HGNC:17650	Approved	SH3RF1	RNF142	SH3MD2
HGNC:17650	Approved	SH3RF1	KIAA1494	SH3MD2
HGNC:26299	Approved	SH3RF2	FLJ23654	PPP1R39
HGNC:26299	Approved	SH3RF2	RNF158	PPP1R39
HGNC:26299	Approved	SH3RF2	Hepp1	PPP1R39
HGNC:26299	Approved	SH3RF2	POSHER	PPP1R39
HGNC:24699	Approved	SH3RF3	FLJ00204	SH3MD4
HGNC:24699	Approved	SH3RF3	POSH2	SH3MD4
HGNC:44168	Approved	SH3RF3-AS1		
HGNC:26009	Approved	SH3TC1	FLJ20356	
HGNC:29427	Approved	SH3TC2	KIAA1985	
HGNC:29427	Approved	SH3TC2	CMT4C	
HGNC:52905	Approved	SH3TC2-DT		
HGNC:29546	Approved	SH3YL1	Ray	
HGNC:29546	Approved	SH3YL1	DKFZP586F1318	
HGNC:15474	Approved	SHANK1	SSTRIP	
HGNC:15474	Approved	SHANK1	SPANK-1	
HGNC:15474	Approved	SHANK1	synamon	
HGNC:14295	Approved	SHANK2	CTTNBP1	CORTBP1
HGNC:14295	Approved	SHANK2	ProSAP1	CORTBP1
HGNC:14295	Approved	SHANK2	SHANK	CORTBP1
HGNC:14295	Approved	SHANK2	SPANK-3	CORTBP1
HGNC:40014	Approved	SHANK2-AS1		
HGNC:40015	Approved	SHANK2-AS2		
HGNC:25098	Approved	SHANK2-AS3		C11orf76
HGNC:14294	Approved	SHANK3	SPANK-2	
HGNC:14294	Approved	SHANK3	prosap2	
HGNC:14294	Approved	SHANK3	KIAA1650	
HGNC:14294	Approved	SHANK3	PSAP2	
HGNC:25321	Approved	SHARPIN	DKFZP434N1923	
HGNC:25321	Approved	SHARPIN	SIPL1	
HGNC:10838	Approved	SHB		
HGNC:10839	Approved	SHBG	ABP	
HGNC:10839	Approved	SHBG	TEBG	
HGNC:10839	Approved	SHBG	MGC126834	
HGNC:10839	Approved	SHBG	MGC138391	
HGNC:10840	Approved	SHC1	p66	SHC
HGNC:10840	Approved	SHC1	ShcA	SHC
HGNC:10841	Approved	SHC1P1		
HGNC:10842	Approved	SHC1P2		SHCL1
HGNC:29869	Approved	SHC2	SLI	
HGNC:29869	Approved	SHC2	SCK	
HGNC:29869	Approved	SHC2	SHCB	
HGNC:18181	Approved	SHC3	N-Shc	
HGNC:18181	Approved	SHC3	NSHC	
HGNC:18181	Approved	SHC3	SHCC	
HGNC:16743	Approved	SHC4	RaLP	
HGNC:16743	Approved	SHC4	SHCD	
HGNC:29547	Approved	SHCBP1	FLJ22009	
HGNC:29547	Approved	SHCBP1	PAL	
HGNC:16788	Approved	SHCBP1L		C1orf14
HGNC:30633	Approved	SHD		
HGNC:27004	Approved	SHE		
HGNC:25116	Approved	SHF		
HGNC:25649	Approved	SHFL	FLJ11286	C19orf66
HGNC:25649	Approved	SHFL	RyDEN	C19orf66
HGNC:25649	Approved	SHFL	IRAV	C19orf66
HGNC:25649	Approved	SHFL	SFL	C19orf66
HGNC:10846	Entry Withdrawn	SHFM2	SHSF2	SHFD2
HGNC:35421	Entry Withdrawn	SHFM5		
HGNC:10848	Approved	SHH	HHG1	HPE3
HGNC:10848	Approved	SHH	HHG1	HLP3
HGNC:10848	Approved	SHH	SMMCI	HPE3
HGNC:10848	Approved	SHH	SMMCI	HLP3
HGNC:10848	Approved	SHH	TPT	HPE3
HGNC:10848	Approved	SHH	TPT	HLP3
HGNC:10848	Approved	SHH	TPTPS	HPE3
HGNC:10848	Approved	SHH	TPTPS	HLP3
HGNC:10848	Approved	SHH	MCOPCB5	HPE3
HGNC:10848	Approved	SHH	MCOPCB5	HLP3
HGNC:20366	Approved	SHISA2	bA398O19.2	C13orf13
HGNC:20366	Approved	SHISA2	bA398O19.2	TMEM46
HGNC:20366	Approved	SHISA2	PRO28631	C13orf13
HGNC:20366	Approved	SHISA2	PRO28631	TMEM46
HGNC:20366	Approved	SHISA2	WGAR9166	C13orf13
HGNC:20366	Approved	SHISA2	WGAR9166	TMEM46
HGNC:20366	Approved	SHISA2	hShisa	C13orf13
HGNC:20366	Approved	SHISA2	hShisa	TMEM46
HGNC:25159	Approved	SHISA3	hShisa3	
HGNC:27139	Approved	SHISA4	hShisa4	C1orf40
HGNC:27139	Approved	SHISA4	hShisa4	TMEM58
HGNC:30376	Approved	SHISA5	SCOTIN	
HGNC:30376	Approved	SHISA5	hShisa5	
HGNC:54937	Approved	SHISA5P1		
HGNC:54993	Approved	SHISA5P2		
HGNC:34491	Approved	SHISA6	FLJ45455	
HGNC:35409	Approved	SHISA7		
HGNC:18351	Approved	SHISA8	Orf26	C22orf17
HGNC:37231	Approved	SHISA9		
HGNC:29335	Approved	SHISAL1		KIAA1644
HGNC:28757	Approved	SHISAL2A	MGC52498	FAM159A
HGNC:34236	Approved	SHISAL2B		FAM159B
HGNC:19214	Approved	SHKBP1	PP203	
HGNC:19214	Approved	SHKBP1	Sb1	
HGNC:26318	Approved	SHLD1	FLJ25067	C20orf196
HGNC:26318	Approved	SHLD1	RINN3	C20orf196
HGNC:28773	Approved	SHLD2	MGC5560	FAM35A
HGNC:28773	Approved	SHLD2	bA163M19.1	FAM35A
HGNC:28773	Approved	SHLD2	FAM35A1	FAM35A
